change_id,table,key,action,reasoning,Model,field,value,D,Reasoning D,I,Reasoning I
15,evidence,,add,This is a direct official source showing Porter backed federal AI guardrails via the AI Bill of Rights.,Codex,Source_Description,Urged Biden to implement AI Bill of Rights (Jayapal House),,,approved,
15,evidence,,add,This is a direct official source showing Porter backed federal AI guardrails via the AI Bill of Rights.,Codex,URL,https://jayapal.house.gov/2023/10/11/representative-jayapal-senator-markey-urge-president-biden-to-implement-ai-bill-of-rights-in-upcoming-executive-order/,,,approved,
16,evidence,,add,This is a direct official source showing Porter supported stronger oversight and limits on AI-driven Medicare coverage denials.,Codex,Candidate_Key,California|Governor|Katie Porter,,,approved,
16,evidence,,add,This is a direct official source showing Porter supported stronger oversight and limits on AI-driven Medicare coverage denials.,Codex,Source_Description,Urged CMS to oversee AI coverage denials (Nadler House),,,approved,
16,evidence,,add,This is a direct official source showing Porter supported stronger oversight and limits on AI-driven Medicare coverage denials.,Codex,URL,https://nadler.house.gov/news/documentsingle.aspx?DocumentID=396200,,,approved,
17,evidence,14,mod,Current description is overly long. The loaded E&E News source supports a shorter AI-specific summary about tougher regulation and a sovereign wealth fund.,Codex,Source_Description,Outlined tougher AI rules and sovereign wealth fund (E&E News),,,approved,
18,evidence,15,del,The loaded Axios source is a campaign-launch story focused on affordability and does not support the current AI-specific description. Stronger AI-specific evidence already exists.,Codex,,,,,approved,
19,evidence,16,del,The loaded CalMatters source is a race-entry profile and does not support the current AI-policy description. Stronger direct AI evidence already exists.,Codex,,,,,approved,
20,evidence,507,del,"The current SF Examiner URL was not accessible for verification in the web tool, so the evidence cannot be reliably maintained as written. Direct replacement evidence is included in this batch.",Codex,,,,,denied,"Link worked for me. Keep source, shorten description."
21,evidence,508,del,The current URL is an inaccessible aggregation page and could not be verified. Direct replacement evidence is included in this batch.,Codex,,,,,approved,
22,evidence,509,mod,"The loaded Substack post supports a shorter, claim-focused description centered on Steyer's AI guardrails for workers, children, and model safety.",Codex,Source_Description,"Outlined AI guardrails for workers, kids, and models (Substack)",,,approved,
23,evidence,601,mod,The loaded campaign press release supports a shorter description focused on Steyer's AI/data-center electricity-cost criticism.,Codex,Source_Description,Town hall attacked AI data-center rate hikes (Campaign Website),,,approved,
24,evidence,,add,"KTVU published Steyer's direct written candidate questionnaire response backing independent AI safety and bias audits, liability, and meaningful human oversight.",Codex,Candidate_Key,California|Governor|Tom Steyer,,,denied,Source does not include Steyer's takes on AI.
24,evidence,,add,"KTVU published Steyer's direct written candidate questionnaire response backing independent AI safety and bias audits, liability, and meaningful human oversight.",Codex,Source_Description,"Backed AI audits, liability, and human oversight (KTVU)",,,denied,Source does not include Steyer's takes on AI.
24,evidence,,add,"KTVU published Steyer's direct written candidate questionnaire response backing independent AI safety and bias audits, liability, and meaningful human oversight.",Codex,URL,https://www.ktvu.com/election/race-california-governor-meet-candidates-participating-debate.amp,,,denied,Source does not include Steyer's takes on AI.
25,evidence,,add,Steyer's official issues page directly states that Californians should share in AI benefits and that companies should face safeguards and accountability.,Codex,Candidate_Key,California|Governor|Tom Steyer,,,approved,
25,evidence,,add,Steyer's official issues page directly states that Californians should share in AI benefits and that companies should face safeguards and accountability.,Codex,Source_Description,Promises Californians a share of AI benefits (Campaign Website),,,approved,
25,evidence,,add,Steyer's official issues page directly states that Californians should share in AI benefits and that companies should face safeguards and accountability.,Codex,URL,https://www.tomsteyer.com/issues,,,approved,
26,evidence,39,mod,Current description misidentifies the source as ARIA Act; the linked press release is about the Future of AI Innovation Act.,Codex,Source_Description,Introduced Future of AI Innovation Act (Senator Website),,,denied,would add the Act promotes setting of national safety standards.
27,evidence,40,mod,"Current description overstates claims not directly supported by the linked hearing page; the source clearly supports a hearing on AI deepfakes, scams, and consumer protection.",Codex,Source_Description,Chaired hearing on AI deepfakes and scams (Senator Website),,,approved,
28,evidence,41,del,Linked roundup page does not directly support the TAKE IT DOWN Act claim; stronger direct TAKE IT DOWN evidence already exists in this batch via Evidence_ID 510.,Codex,,,,,,
29,evidence,42,mod,"Shortened to a source-supported, standardized description.",Codex,Source_Description,Urged OSTP to develop federal AI standards (Senator Website),,,,
30,evidence,43,mod,"Shortened to a source-supported, standardized description.",Codex,Source_Description,Proposed third-party AI audits and data privacy rules (Senator Website),,,,
31,evidence,510,mod,Current description incorrectly says the bill was signed into law; the linked source only supports final passage and transmission to the President.,Codex,Source_Description,Celebrated TAKE IT DOWN Act final passage (Senator Website),,,,
32,evidence,511,mod,"Shortened to a source-supported, standardized description.",Codex,Source_Description,VET AI Act passed Senate committee (Senator Website),,,,
33,evidence,512,mod,"Shortened to a source-supported, standardized description.",Codex,Source_Description,Introduced ARIA Act for high-impact AI guardrails (Senator Website),,,,
34,evidence,513,mod,"Shortened to a source-supported, standardized description.",Codex,Source_Description,Reintroduced Future of AI Innovation Act (Commerce Committee),,,,
35,evidence,514,mod,Replaces media coverage with Hickenlooper's direct press release on the AI Workforce PREPARE Act.,Codex,Source_Description,Introduced AI Workforce PREPARE Act (Senator Website),,,,
35,evidence,514,mod,Replaces media coverage with Hickenlooper's direct press release on the AI Workforce PREPARE Act.,Codex,URL,https://www.hickenlooper.senate.gov/press_releases/hickenlooper-banks-hassan-husted-introduce-bipartisan-bill-to-better-forecast-ais-impact-on-workforce/,,,,
36,evidence,515,mod,"Shortened to a source-supported, standardized description.",Codex,Source_Description,Questioned DoD use of Grok over safety harms (Senator Website),,,,
37,evidence,,add,Adds newer direct official evidence of Hickenlooper urging federal tracking of AI's labor-market effects.,Codex,Candidate_Key,Colorado|Senate|John Hickenlooper,,,,
37,evidence,,add,Adds newer direct official evidence of Hickenlooper urging federal tracking of AI's labor-market effects.,Codex,Source_Description,Urged federal reporting on AI workforce impacts (Senator Website),,,,
37,evidence,,add,Adds newer direct official evidence of Hickenlooper urging federal tracking of AI's labor-market effects.,Codex,URL,https://www.hickenlooper.senate.gov/press_releases/hickenlooper-colleagues-demand-better-data-on-ai-workforce-impact/,,,,
38,evidence,60,mod,"The current description is overly long. The loaded source directly supports that Esteves co-sponsored SB 37, the AI Accountability Act, aimed at statewide government AI oversight including local governments.",Codex,Source_Description,Co-sponsored AI Accountability Act for government AI oversight (Atlanta Civic Circle),,,,
39,evidence,524,del,"This source is current and live, but it is not AI-related and includes a negative assertion about campaign priorities. The remaining evidence is sufficient without it.",Codex,,,,,,
40,evidence,2781,mod,A more direct government source is available. The Georgia Senate study committees page directly lists Esteves as an appointee to the Senate Study Committee on Artificial Intelligence.,Codex,Source_Description,Appointed to Senate Study Committee on Artificial Intelligence (Georgia Senate),,,,
40,evidence,2781,mod,A more direct government source is available. The Georgia Senate study committees page directly lists Esteves as an appointee to the Senate Study Committee on Artificial Intelligence.,Codex,URL,https://www.senate.ga.gov/committees/en-US/2024StudyCommittees.aspx,,,,
41,evidence,71,mod,Official Senate press release supports a shorter claim-focused description with standardized source label.,Codex,Source_Description,Convened AI human rights hearing (Senator Website),,,approved,
42,evidence,72,mod,Congress.gov hearing transcript directly supports a more specific AI-related description with source label.,Codex,Source_Description,Questioned Altman on privacy and AI limits (Congress.gov),,,approved,
43,evidence,73,mod,Official Senate press release supports a concise description focused on Ossoff's AI-related action.,Codex,Source_Description,Questioned Pentagon use of antisemitic Grok (Senator Website),,,approved,
44,evidence,74,del,"GovTrack member page is a generic legislation tracker, not direct candidate AI evidence, and is weaker than the direct sources already present.",Codex,,,,,approved,
45,evidence,521,mod,"AJC article directly supports a shorter, clearer description with source label.",Codex,Source_Description,Pledged not to use deceptive deepfakes (AJC),,,approved,
46,evidence,522,mod,Official Senate press release supports a concise AI-specific description with standardized source label.,Codex,Source_Description,Launched AI-generated CSAM inquiry (Senator Website),,,,
47,evidence,523,del,This is a secondary article duplicating the core claim already covered by the direct Senate press release about the same hearing.,Codex,,,,,,
48,evidence,,add,"Found a newer direct official source showing continued pressure on AI-enabled child exploitation, which reinforces the existing responsible-governance record.",Codex,Candidate_Key,Georgia|Senate|Jon Ossoff,,,,
48,evidence,,add,"Found a newer direct official source showing continued pressure on AI-enabled child exploitation, which reinforces the existing responsible-governance record.",Codex,Source_Description,Pressed Big Tech over AI nudify apps (Senator Website),,,,
48,evidence,,add,"Found a newer direct official source showing continued pressure on AI-enabled child exploitation, which reinforces the existing responsible-governance record.",Codex,URL,https://www.ossoff.senate.gov/es/press-releases/sen-ossoff-pressing-big-tech-over-sexual-exploitation-of-children-online/,,,,
49,evidence,84,del,Secondary news summary is redundant because a direct campaign PDF source exists for the same AI housing policy.,Codex,,,,,approved,
50,evidence,85,mod,Replace the indirect host with the direct campaign PDF and shorten the description to a source-supported AI claim.,Codex,Source_Description,Restrict AI rent-setting and application screening (Campaign Website),,,approved,
50,evidence,85,mod,Replace the indirect host with the direct campaign PDF and shorten the description to a source-supported AI claim.,Codex,URL,https://www.julianastratton.com/_files/ugd/9308f6_f10229b2fc7142fea157fa78764b1e05.pdf,,,approved,
51,evidence,86,del,The source discusses an Illinois AI employment law but does not mention Stratton or establish her direct role.,Codex,,,,,approved,
52,evidence,525,del,The PAC-spending source is indirect and does not directly document Stratton's own AI-related position or action.,Codex,,,,,approved,
53,evidence,526,del,The source describes an Illinois AI therapy law but does not mention Stratton or establish her direct role.,Codex,,,,,approved,
54,evidence,,add,Direct campaign blueprint adds another explicit AI-related policy signal beyond housing regulation.,Codex,Candidate_Key,Illinois|Senate|Juliana Stratton,,,,
54,evidence,,add,Direct campaign blueprint adds another explicit AI-related policy signal beyond housing regulation.,Codex,Source_Description,Modernize workforce training for AI industries (Campaign Website),,,,
54,evidence,,add,Direct campaign blueprint adds another explicit AI-related policy signal beyond housing regulation.,Codex,URL,https://www.julianastratton.com/_files/ugd/9308f6_244b22e9eb1e4b8983aee97742ba61ac.pdf,,,,
55,evidence,108,mod,"The official Governor source is live and supports the claim, but the current description is too long and does not follow the required concise parenthetical format.",Codex,Source_Description,Signed executive order creating AI task force (Governor Website),,,approved,
56,evidence,109,mod,"The current Governor press-release URL is effectively dead/404. A live official Maine report PDF supports the AI task-force record, but the current description overstates details not cleanly verified from the live source and is too long.",Codex,Source_Description,AI task force report recommends statewide safeguards (GOPIF),,,approved,
56,evidence,109,mod,"The current Governor press-release URL is effectively dead/404. A live official Maine report PDF supports the AI task-force record, but the current description overstates details not cleanly verified from the live source and is too long.",Codex,URL,https://www.maine.gov/future/sites/maine.gov.future/files/2025-10/_AI%20Report_DIGITAL.pdf,,,approved,
57,evidence,110,mod,"The current law-firm article is weaker than the available direct Maine source. The official House Democrats release directly states Mills signed the AI chatbot disclosure bill, and the description should be shortened to the required format.",Codex,Source_Description,Signed AI chatbot disclosure law (House Democrats),,,approved,
57,evidence,110,mod,"The current law-firm article is weaker than the available direct Maine source. The official House Democrats release directly states Mills signed the AI chatbot disclosure bill, and the description should be shortened to the required format.",Codex,URL,https://www.maine.gov/housedems/news/governor-signs-kuhn-legislation-protect-mainers-deceptive-artificial-intelligence,,,approved,
58,evidence,111,mod,"The current official source is relevant and live, but the description is too long and should use the required concise parenthetical format.",Codex,Source_Description,Signed AI deepfake protections into law (House Democrats),,,,
59,evidence,527,mod,"The current Maine Public article is weaker than the direct legislative record, and the existing description includes an unsupported claim about an NRSC attack video against Mills. The official legislature source shows LD 517 was enacted and signed on March 23, 2026.",Codex,Source_Description,Signed synthetic-media ad disclosure law (Maine Legislature),,,,
59,evidence,527,mod,"The current Maine Public article is weaker than the direct legislative record, and the existing description includes an unsupported claim about an NRSC attack video against Mills. The official legislature source shows LD 517 was enacted and signed on March 23, 2026.",Codex,URL,https://mainelegislature.org/bills/display_ps.asp?PID=1456&paper=HP0335&snum=132,,,,
60,evidence,112,mod,Current description is too long and should use a concise claim plus source label. The official Collins press release directly says she introduced a bipartisan bill banning materially deceptive AI-generated election content.,Codex,Source_Description,Introduced bill banning deceptive AI election ads (Senator Website),,,,
61,evidence,113,mod,Current description is too long. The official Collins press release directly supports a concise description that she introduced a bipartisan bill requiring AI guidance for election offices.,Codex,Source_Description,Introduced election-office AI guidance bill (Senator Website),,,approved,
62,evidence,114,mod,Current description is too long and overexplains. The loaded Nextgov article directly states Collins submitted the amendment to strike the state AI moratorium.,Codex,Source_Description,Co-sponsored amendment striking state AI moratorium (Nextgov/FCW),,,approved,
63,evidence,115,del,"The Maine House Democrats page only shows state lawmakers urging Collins to oppose the AI moratorium. It does not support the claim that she complied or broke with GOP leadership, and stronger direct evidence of her actual role already exists in Evidence_ID 114.",Codex,,,,,approved,
64,evidence,528,mod,Current description is too long and includes analysis. The official Collins press release supports a narrower factual description about funding a computing hub tied to AI research.,Codex,Source_Description,Secured computing hub funding supporting AI research (Senator Website),,,,
65,evidence,529,mod,Current description is too long. The official Collins press release directly supports a concise description that her push helped unlock election funding to combat AI disinformation.,Codex,Source_Description,Prompted EAC funding to combat AI disinformation (Senator Website),,,,
66,evidence,530,mod,"The current July 22, 2025 URL does not support the AI watermarking claim. A different Collins press release from May 30, 2024 directly supports the watermarking/content-authenticity provision, so both the URL and description should be corrected.",Codex,Source_Description,Co-authored AI watermarking protection provision (Senator Website),,,,
66,evidence,530,mod,"The current July 22, 2025 URL does not support the AI watermarking claim. A different Collins press release from May 30, 2024 directly supports the watermarking/content-authenticity provision, so both the URL and description should be corrected.",Codex,URL,https://www.collins.senate.gov/newsroom/senate-intelligence-authorization-bill-advances-with-key-provisions-authored-by-senator-collins,,,,
67,evidence,531,del,"The TIME article does not mention Susan Collins, and Congress.gov shows she was not a cosponsor of S.146. This row does not directly support an AI-related action by Collins.",Codex,,,,,,
68,evidence,105,mod,"Official governor source supports the AI executive order and AI Subcabinet, but the current description is overly long and should be standardized.",Codex,Source_Description,Signed AI executive order and created AI Subcabinet (Governor Website),,,approved,
69,evidence,106,del,This Washington Post item is weaker and duplicative of the direct governor source already in the record.,Codex,,,,,,
70,evidence,532,mod,The current StateScoop link can be replaced with the direct Maryland DoIT roadmap page.,Codex,Source_Description,Submitted 2025 AI strategy and study roadmap (Maryland DoIT),,,,
70,evidence,532,mod,The current StateScoop link can be replaced with the direct Maryland DoIT roadmap page.,Codex,URL,https://doit.maryland.gov/policies/ai/Pages/maryland-AI-enablement-strategy-and-roadmap.aspx,,,,
71,evidence,533,mod,The current Technical.ly article can be replaced with the direct Maryland General Assembly bill page showing Moore's veto and the later override.,Codex,Source_Description,Vetoed data center impact study bill; override followed (Maryland General Assembly),,,approved,
71,evidence,533,mod,The current Technical.ly article can be replaced with the direct Maryland General Assembly bill page showing Moore's veto and the later override.,Codex,URL,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0270?ys=2025RS,,,approved,
72,evidence,534,mod,"The official governor source supports this claim, but the description should be shortened and standardized.",Codex,Source_Description,Announced $4 million AI workforce training investment (Governor Website),,,approved,
73,evidence,535,mod,The current local-news summary can be replaced with the direct State of the State transcript on the governor's website.,Codex,Source_Description,State address outlined three AI goals (Governor Website),,,,
73,evidence,535,mod,The current local-news summary can be replaced with the direct State of the State transcript on the governor's website.,Codex,URL,https://governor.maryland.gov/news/press/pages/Governor-Moore-Delivers-2026-State-of-the-State-Address.aspx,,,,
74,evidence,536,mod,The current EPIC post is indirect; the Maryland General Assembly bill page is a better direct source and shows gubernatorial approval.,Codex,Source_Description,Approved AI implementation workgroup bill (Maryland General Assembly),,,,
74,evidence,536,mod,The current EPIC post is indirect; the Maryland General Assembly bill page is a better direct source and shows gubernatorial approval.,Codex,URL,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB0956?ys=2025RS,,,,
75,evidence,,add,This is additional direct official evidence of Moore's 2025 AI record.,Codex,Candidate_Key,Maryland|Governor|Wes Moore,,,,
75,evidence,,add,This is additional direct official evidence of Moore's 2025 AI record.,Codex,Source_Description,Announced Anthropic partnership for responsible AI service delivery (Governor Website),,,,
75,evidence,,add,This is additional direct official evidence of Moore's 2025 AI record.,Codex,URL,https://governor.maryland.gov/news/press/pages/maryland-governor-wes-moore-announces-landmark-ai-partnership-to-transform-state-service-delivery.aspx,,,,
76,evidence,,add,This is additional direct official evidence of Moore's AI-related service-delivery agenda.,Codex,Candidate_Key,Maryland|Governor|Wes Moore,,,,
76,evidence,,add,This is additional direct official evidence of Moore's AI-related service-delivery agenda.,Codex,Source_Description,Secured AI grants to improve public services (Governor Website),,,,
76,evidence,,add,This is additional direct official evidence of Moore's AI-related service-delivery agenda.,Codex,URL,https://governor.maryland.gov/news/press/pages/maryland-secures-ai-grants-to-strengthen-delivery-of-public-services.aspx,,,,
77,evidence,96,mod,Current description is too long. The official press release directly supports a concise claim-focused description.,Codex,Source_Description,Reintroduced AI Civil Rights Act guardrails (Senator Website),,,approved,
78,evidence,97,mod,Current description is too long. The official press release supports a shorter standardized description.,Codex,Source_Description,Introduced States' Right to Regulate AI Act (Senator Website),,,,
79,evidence,99,mod,Current description is too long. The official press release supports a concise description focused on the bill's purpose.,Codex,Source_Description,Reintroduced Eliminating BIAS Act for agency oversight (Senator Website),,,,
80,evidence,100,mod,Current description is too long. The official press release supports a concise bill-focused description.,Codex,Source_Description,Co-led AI Environmental Impacts Act (Senator Website),,,,
81,evidence,101,mod,Current description is too long. The official press release supports a concise bipartisan public-health framing.,Codex,Source_Description,Introduced bipartisan bill on AI public health threats (Senator Website),,,,
82,evidence,98,del,This is a third-party news article about Markey's fight against state AI preemption. Stronger direct official sources covering the same action already exist in current evidence.,Codex,,,,,,
83,evidence,537,mod,Current description is too long. The official press release supports a concise bill-focused description.,Codex,Source_Description,Introduced Right to Override Act for healthcare AI (Senator Website),,,,
84,evidence,538,mod,Current description is too long and bundles several actions. The official press release directly supports a concise roundtable-focused description.,Codex,Source_Description,Hosted roundtable on AI data center harms (Senator Website),,,,
85,evidence,539,mod,Current description is too long. The official press release supports a concise labor-focused description.,Codex,Source_Description,Pressed AI firms on exploited data workers (Senator Website),,,,
86,evidence,540,del,This third-party article can be replaced by a direct official Senate press release covering the same action.,Codex,,,,,,
87,evidence,578,mod,Current description is too long. The official press release supports a concise description of Markey's amendment against state AI preemption.,Codex,Source_Description,Filed amendment against state AI moratorium (Senator Website),,,approved,
88,evidence,579,mod,Current description is too long. The official press release supports a concise environmental-impacts description.,Codex,Source_Description,Applauded GAO report on AI environmental harms (Senator Website),,,approved,
89,evidence,2782,mod,Current description uses a non-standard parenthetical label. The official press release supports a standardized concise description.,Codex,Source_Description,Introduced Youth AI Privacy Act for minors (Senator Website),,,,
90,evidence,,add,Direct official replacement for the deleted third-party Grok article.,Codex,Candidate_Key,Massachusetts|Senate|Ed Markey,,,,
90,evidence,,add,Direct official replacement for the deleted third-party Grok article.,Codex,Source_Description,Urged app stores to remove Grok over sexualized images (Senator Website),,,,
90,evidence,,add,Direct official replacement for the deleted third-party Grok article.,Codex,URL,https://www.wyden.senate.gov/news/press-releases/wyden-markey-and-lujan-urge-apple-and-google-to-remove-x-and-grok-from-app-stores-following-grok-generating-illegal-sexual-images-at-scale,,,,
91,evidence,,add,New direct 2026 evidence showing Markey pressed major AI firms on manipulation and privacy risks from chatbot advertising.,Codex,Candidate_Key,Massachusetts|Senate|Ed Markey,,,,
91,evidence,,add,New direct 2026 evidence showing Markey pressed major AI firms on manipulation and privacy risks from chatbot advertising.,Codex,Source_Description,Questioned AI chatbot advertising safeguards (Senator Website),,,,
91,evidence,,add,New direct 2026 evidence showing Markey pressed major AI firms on manipulation and privacy risks from chatbot advertising.,Codex,URL,https://www.markey.senate.gov/news/press-releases/markey-probes-ai-companies-on-their-plans-to-roll-out-advertising-in-ai-chatbots,,,,
92,evidence,,add,New direct 2026 evidence showing Markey raised child-safety concerns about AI-enabled toys.,Codex,Candidate_Key,Massachusetts|Senate|Ed Markey,,,,
92,evidence,,add,New direct 2026 evidence showing Markey raised child-safety concerns about AI-enabled toys.,Codex,Source_Description,Raised safety concerns about AI toys (Senator Website),,,,
92,evidence,,add,New direct 2026 evidence showing Markey raised child-safety concerns about AI-enabled toys.,Codex,URL,https://www.markey.senate.gov/news/press-releases/markey-klobuchar-cantwell-raise-concerns-on-the-use-of-ai-in-toys,,,,
93,evidence,,add,New direct 2026 evidence showing Markey defended AI safeguards against mass surveillance and autonomous-weapons deployment.,Codex,Candidate_Key,Massachusetts|Senate|Ed Markey,,,approved,
93,evidence,,add,New direct 2026 evidence showing Markey defended AI safeguards against mass surveillance and autonomous-weapons deployment.,Codex,Source_Description,Defended Anthropic safeguards on surveillance and autonomous weapons (Senator Website),,,approved,
93,evidence,,add,New direct 2026 evidence showing Markey defended AI safeguards against mass surveillance and autonomous-weapons deployment.,Codex,URL,https://www.markey.senate.gov/news/press-releases/markey-demands-immediate-congressional-action-to-reverse-dod-designation-of-anthropic-a-supply-chain-risk,,,approved,
94,evidence,,add,New direct 2026 evidence showing Markey sought consumer protection from AI data-center electricity costs.,Codex,Candidate_Key,Massachusetts|Senate|Ed Markey,,,approved,
94,evidence,,add,New direct 2026 evidence showing Markey sought consumer protection from AI data-center electricity costs.,Codex,Source_Description,Urged states to shield ratepayers from AI data centers (Senator Website),,,approved,
94,evidence,,add,New direct 2026 evidence showing Markey sought consumer protection from AI data-center electricity costs.,Codex,URL,https://www.markey.senate.gov/news/press-releases/senator-markey-colleagues-call-for-state-energy-regulators-to-protect-ratepayers-from-data-center-related-cost-hikes,,,approved,
95,evidence,118,mod,"The current PBS URL is inaccessible here (403), and an official Michigan Department of State source directly documents Benson backing Michigan's AI election-communication bills.",Codex,Source_Description,Backed Michigan AI ad disclosure bills (Secretary of State Website),,,denied,Specifically for political/election ads.
95,evidence,118,mod,"The current PBS URL is inaccessible here (403), and an official Michigan Department of State source directly documents Benson backing Michigan's AI election-communication bills.",Codex,URL,https://www.michigan.gov/sos/resources/news/2023/11/01/secretary-benson-statement-on-house-passage-of-legislation-to-improve-election-security-in-michigan,,,denied,Specifically for political/election ads.
96,evidence,119,mod,This AP/Gander repost is weaker than the direct official source. Michigan's Department of State page directly documents Benson outlining election-related AI risks and calling for federal support.,Codex,Source_Description,Outlined election AI risks and sought federal support (Secretary of State Website),,,approved,
96,evidence,119,mod,This AP/Gander repost is weaker than the direct official source. Michigan's Department of State page directly documents Benson outlining election-related AI risks and calling for federal support.,Codex,URL,https://www.michigan.gov/sos/resources/news/2023/11/08/secretary-benson-calls-for-federal-state-laws-to-protect-elections,,,approved,
97,evidence,122,del,"The campaign homepage currently shows an active gubernatorial campaign but does not provide AI-specific evidence. Stronger direct AI-related sources already exist, so this generic identity-only row is unnecessary.",Codex,,,,,approved,
98,evidence,541,mod,"The current description is too long, and the current URL is blocked here. A newer direct report more specifically documents Benson's announced data-center guardrails.",Codex,Source_Description,"Proposed hearings, cost protections, and union labor (Detroit Metro Times)",,,,
98,evidence,541,mod,"The current description is too long, and the current URL is blocked here. A newer direct report more specifically documents Benson's announced data-center guardrails.",Codex,URL,https://www.metrotimes.com/news/benson-takes-on-data-center-boom-with-stricter-safeguards/,,,,
99,evidence,581,mod,The current description overstates details not supported by the loaded Bridge article. Bridge directly supports a narrower claim about Benson opposing data centers that raise costs or harm water resources.,Codex,Source_Description,"Would ban high-water, high-cost data centers (Bridge Michigan)",,,,
100,evidence,,add,This is a newer direct official source showing Benson continued pressing for federal election funding to counter AI-generated misinformation.,Codex,Candidate_Key,Michigan|Governor|Jocelyn Benson,,,,
100,evidence,,add,This is a newer direct official source showing Benson continued pressing for federal election funding to counter AI-generated misinformation.,Codex,Source_Description,Urged federal funding to counter AI misinformation (Secretary of State Website),,,,
100,evidence,,add,This is a newer direct official source showing Benson continued pressing for federal election funding to counter AI-generated misinformation.,Codex,URL,https://www.michigan.gov/sos/resources/news/2024/03/12/secretary-benson-testifies-at-us-senate-rules-committee-hearing,,,,
101,evidence,585,mod,The campaign policy page is live and supports a shorter standardized description. The current text is overly long for the project format.,Codex,Source_Description,Seven terms for Michigan data center approvals (Campaign Website),,,,
102,evidence,586,del,This is a secondary news brief duplicating the same January 2026 data-center policy rollout already documented by a direct campaign source in Evidence_ID 585. Keeping the direct source is stronger and sufficient.,Codex,,,,,,
